City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
268,robertsport,6.7533,-11.3686,28.06,80,99,2.26,LR,1715034342
269,el calafate,-50.3408,-72.2768,-2.33,69,13,1.14,AR,1715034284
270,mount gambier,-37.8333,140.7667,8.11,96,12,1.92,AU,1715034346
271,mek'ele,13.4967,39.4753,18.16,73,1,3.02,ET,1715034348
272,kastal,36.246,36.2451,16.67,45,40,7.72,TR,1715034350
273,eureka,40.8021,-124.1637,15.67,88,93,1.79,US,1715034122
274,nova vicosa,-17.8919,-39.3719,25.36,83,1,4.2,BR,1715034355
275,vrangel',42.7297,133.0839,5.52,96,100,4.37,RU,1715034357
276,veinticinco de mayo,-35.4323,-60.1727,13.32,99,100,1.79,AR,1715034359
277,strehaia,44.6167,23.2,14.2,73,78,0.3,RO,1715034361
278,port elizabeth,-33.918,25.5701,16.84,97,40,1.54,ZA,1715034223
279,bamusso,4.4591,8.9027,28.01,86,97,2.85,CM,1715034365
280,nadi,-17.8,177.4167,29.0,70,75,3.6,FJ,1715034367
281,sao paulo de olivenca,-3.3783,-68.8725,25.85,98,100,1.08,BR,1715034369
282,mahibadhoo,3.7833,72.9667,29.1,79,100,4.42,MV,1715034371
283,bamboo flat,11.7,92.7167,28.34,77,41,0.99,IN,1715034249
284,mossel bay,-34.1831,22.146,16.09,74,0,2.55,ZA,1715033790
285,sirjan,29.452,55.6814,18.79,35,11,1.31,IR,1715034378
286,gerash,27.6652,54.1371,24.99,35,30,2.65,IR,1715034380
287,hirtshals,57.5881,9.9592,9.64,82,99,5.13,DK,1715034382
288,brisas de zicatela,15.8369,-97.0419,30.29,74,20,3.09,MX,1715034384
289,vorgashor,67.5833,63.95,-18.44,100,80,2.93,RU,1715034235
290,paramonga,-10.6667,-77.8333,20.72,81,39,4.23,PE,1715034390
291,faya-largeau,17.9257,19.1043,32.31,15,0,6.96,TD,1715034393
292,soe,-9.8607,124.284,18.61,97,31,1.75,ID,1715034395
293,ketchikan,55.3422,-131.6461,10.19,81,75,8.23,US,1715034397
294,bubaque,11.2833,-15.8333,26.23,75,13,8.02,GW,1715034399
295,cam ranh,11.9214,109.1591,25.98,94,20,1.54,VN,1715034401
296,lefka,35.1106,32.8506,15.96,65,0,2.36,CY,1715034403
297,juan griego,11.0817,-63.9655,27.95,77,97,6.15,VE,1715034405
298,jamestown,42.097,-79.2353,20.85,36,0,4.63,US,1715034407
299,sao tome,0.3365,6.7273,27.86,82,88,4.71,ST,1715034409
300,weno,7.4515,151.8468,29.97,84,100,3.09,FM,1715034235
301,kangding,30.0513,101.9603,9.61,99,100,1.27,CN,1715034414
302,baki,-7.6128,110.7839,22.08,91,2,2.33,ID,1715034416
303,akrehamn,59.2667,5.1833,10.14,87,100,2.06,NO,1715034418
304,acajutla,13.5928,-89.8275,30.28,67,27,3.45,SV,1715034420
305,newman,37.3138,-121.0208,22.35,39,31,0.89,US,1715034216
306,rabaul,-4.1967,152.1721,27.82,78,100,1.04,PG,1715034226
307,nili,33.7218,66.1302,13.07,36,0,2.28,AF,1715034427
308,baracatan,6.9675,125.4158,23.31,85,96,2.47,PH,1715034429
309,williams lake,52.1415,-122.1445,15.03,43,75,4.12,CA,1715034431
310,melekeok village,7.4957,134.6367,27.31,83,75,1.54,PW,1715034433
311,crane,31.3974,-102.3501,33.03,9,2,9.36,US,1715034219
312,pochep,52.9336,33.4464,12.43,94,87,5.21,RU,1715034437
313,olyokminsk,60.3736,120.4264,6.94,85,100,3.3,RU,1715034439
314,lusambo,-4.9667,23.45,22.88,65,30,0.44,CD,1715034442
315,okhotsk,59.3833,143.3,1.98,88,76,2.08,RU,1715034212
